product_id,product_name,category,price,stock_quantity
101,Samsung Galaxy S23,Electronics,79999.00,50
102,Apple iPhone 14,Electronics,89999.00,30
103,Sony Headphones WH-1000XM5,Electronics,29999.00,75
104,Levi's Jeans,Fashion,2999.00,100
105,Nike Running Shoes,Fashion,5999.00,60
106,HP Laptop 15s,Electronics,45999.00,25
107,Adidas T-Shirt,Fashion,1499.00,150
108,OnePlus Nord 3,Electronics,32999.00,40
109,Boat Earbuds,Electronics,1999.00,200
110,Puma Trackpants,Fashion,2499.00,80
111,Dell Monitor 24 inch,Electronics,,35
112,Zara Casual Shirt,Fashion,2999.00,90
113,Mi Smart Band 7,Electronics,2799.00,120
114,,Fashion,1999.00,70
115,Reebok Sports Shoes,Fashion,-500.00,50
